                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.0928,                0.68231,                 1.0984,                0.84068,                0.81253,                0.84665,                0.54146,                 1.2017,                0.72723,                 1.2027,               0.007327,               0.007327,               0.007327
                     83,                   1.09,                0.68141,                 1.0943,                 0.8386,                0.81513,                0.84725,                0.54448,                 1.1968,                0.72519,                 1.1966,               0.007294,               0.007294,               0.007294
                     84,                  1.088,                0.67929,                 1.0934,                0.84859,                0.80478,                0.84445,                0.53928,                 1.2074,                0.73203,                 1.2054,               0.007261,               0.007261,               0.007261
                     85,                 1.0801,                0.68108,                 1.0945,                 0.8408,                0.81507,                0.84316,                0.54126,                 1.2052,                0.71984,                 1.2014,               0.007228,               0.007228,               0.007228
                     86,                 1.0779,                0.67547,                 1.0921,                0.84083,                0.81419,                0.84212,                0.54024,                 1.1969,                0.72379,                 1.1978,               0.007195,               0.007195,               0.007195
                     87,                 1.0809,                0.67506,                 1.0909,                0.83819,                 0.8165,                0.84712,                0.54559,                 1.1909,                0.71754,                 1.1951,               0.007162,               0.007162,               0.007162
                     88,                 1.0777,                0.67546,                 1.0923,                0.84908,                0.81172,                0.84936,                0.54638,                 1.1875,                0.71607,                 1.1908,               0.007129,               0.007129,               0.007129
                     89,                 1.0747,                0.67048,                 1.0889,                0.84151,                0.81488,                0.84817,                0.54501,                 1.1982,                0.71618,                  1.202,               0.007096,               0.007096,               0.007096
                     90,                 1.0578,                0.65608,                 1.0815,                 0.8483,                0.81185,                0.84831,                0.54513,                 1.1905,                0.71414,                 1.1943,               0.007063,               0.007063,               0.007063
                     91,                  1.064,                0.66442,                 1.0838,                0.84308,                0.81104,                0.84686,                0.54514,                 1.1913,                0.71767,                 1.1962,                0.00703,                0.00703,                0.00703
                     92,                 1.0633,                0.65847,                 1.0786,                0.84346,                0.81193,                 0.8493,                 0.5483,                 1.1841,                0.71161,                 1.1876,               0.006997,               0.006997,               0.006997
                     93,                 1.0587,                0.64745,                 1.0787,                0.84633,                0.81118,                  0.847,                0.54872,                  1.178,                0.71717,                 1.1931,               0.006964,               0.006964,               0.006964
                     94,                 1.0496,                0.64848,                 1.0762,                0.84283,                0.81284,                0.84647,                0.55105,                 1.1775,                0.71615,                 1.1916,               0.006931,               0.006931,               0.006931
                     95,                 1.0524,                0.65334,                  1.082,                0.84435,                0.81939,                0.84732,                0.54957,                  1.183,                0.71077,                 1.1893,               0.006898,               0.006898,               0.006898
                     96,                 1.0566,                0.65183,                 1.0788,                0.85013,                0.80729,                0.84565,                0.55122,                 1.1739,                0.71948,                 1.1844,               0.006865,               0.006865,               0.006865
                     97,                 1.0554,                0.65078,                 1.0777,                0.84214,                0.81653,                0.84438,                0.54862,                 1.1826,                0.71831,                   1.19,               0.006832,               0.006832,               0.006832
                     98,                 1.0389,                0.64204,                 1.0692,                0.84569,                0.81555,                0.85159,                0.55553,                 1.1715,                0.71075,                 1.1859,               0.006799,               0.006799,               0.006799
                     99,                 1.0489,                0.64978,                 1.0802,                0.84432,                0.81926,                0.84777,                0.55343,                 1.1708,                0.71362,                 1.1894,               0.006766,               0.006766,               0.006766
                    100,                 1.0393,                0.64345,                 1.0721,                0.85652,                0.81801,                0.85547,                0.55615,                 1.1721,                0.70335,                 1.1905,               0.006733,               0.006733,               0.006733
                    101,                 1.0353,                0.64823,                 1.0715,                 0.8571,                0.80781,                0.85275,                0.55411,                 1.1691,                0.70872,                 1.1883,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0359,                0.64454,                 1.0671,                0.85112,                0.81676,                0.85115,                0.55358,                  1.173,                0.70593,                 1.1879,               0.006667,               0.006667,               0.006667
                    103,                 1.0356,                0.63844,                 1.0685,                0.84732,                0.81512,                0.85026,                0.55562,                 1.1675,                0.70336,                 1.1883,               0.006634,               0.006634,               0.006634
                    104,                 1.0312,                0.63942,                 1.0641,                0.85368,                0.81561,                0.85331,                0.55494,                 1.1676,                0.70215,                 1.1879,               0.006601,               0.006601,               0.006601
                    105,                 1.0241,                0.63986,                 1.0671,                0.85395,                 0.8147,                0.85034,                0.55559,                 1.1706,                0.70244,                 1.1917,               0.006568,               0.006568,               0.006568
                    106,                 1.0262,                0.63321,                  1.064,                0.84644,                0.81852,                0.85131,                0.55837,                 1.1583,                0.69839,                 1.1873,               0.006535,               0.006535,               0.006535
                    107,                 1.0228,                 0.6327,                 1.0634,                0.85197,                0.81394,                0.84643,                0.55512,                 1.1599,                0.70392,                 1.1859,               0.006502,               0.006502,               0.006502
                    108,                 1.0144,                0.62795,                 1.0622,                0.85072,                0.81766,                0.84811,                0.55589,                 1.1549,                 0.6993,                  1.184,               0.006469,               0.006469,               0.006469
                    109,                 1.0173,                0.62443,                 1.0603,                0.85641,                0.81688,                0.85502,                0.55977,                  1.155,                0.69069,                 1.1839,               0.006436,               0.006436,               0.006436
                    110,                 1.0092,                 0.6232,                 1.0574,                0.85235,                0.81597,                0.85111,                0.55932,                 1.1582,                0.69591,                  1.183,               0.006403,               0.006403,               0.006403
                    111,                 1.0062,                0.61743,                 1.0595,                0.86091,                0.81181,                0.85313,                0.56022,                 1.1522,                 0.6952,                 1.1811,                0.00637,                0.00637,                0.00637
                    112,                 1.0168,                0.63157,                 1.0625,                0.86262,                0.81532,                0.85446,                0.56226,                 1.1511,                0.68897,                 1.1849,               0.006337,               0.006337,               0.006337
                    113,                0.99777,                0.61809,                 1.0494,                0.85536,                0.81056,                0.85066,                 0.5621,                 1.1422,                0.68992,                 1.1809,               0.006304,               0.006304,               0.006304
                    114,                 1.0035,                0.60948,                 1.0494,                0.86268,                0.81017,                 0.8508,                0.56205,                 1.1451,                 0.6869,                 1.1773,               0.006271,               0.006271,               0.006271
                    115,                 1.0084,                0.61713,                 1.0562,                0.85451,                0.81506,                 0.8504,                0.56328,                 1.1374,                0.68616,                 1.1721,               0.006238,               0.006238,               0.006238
                    116,                0.99563,                0.61639,                 1.0527,                0.85919,                0.81875,                0.85286,                0.56304,                 1.1383,                0.68516,                  1.177,               0.006205,               0.006205,               0.006205
                    117,                 1.0032,                0.61663,                   1.05,                0.85338,                0.82424,                0.85398,                0.56593,                 1.1427,                0.68864,                 1.1749,               0.006172,               0.006172,               0.006172
                    118,                0.99589,                0.61372,                 1.0506,                0.86031,                 0.8196,                0.85567,                0.56685,                 1.1399,                0.68738,                 1.1777,               0.006139,               0.006139,               0.006139
                    119,                 0.9949,                0.60912,                 1.0452,                0.85885,                0.82197,                0.85651,                0.56753,                 1.1367,                0.69062,                 1.1765,               0.006106,               0.006106,               0.006106
                    120,                 0.9877,                0.60665,                 1.0435,                0.85889,                0.81794,                0.85551,                0.56896,                 1.1321,                0.68762,                 1.1739,               0.006073,               0.006073,               0.006073
                    121,                 0.9965,                0.61754,                 1.0552,                0.85201,                0.82334,                0.85518,                0.56922,                 1.1313,                0.68441,                  1.173,                0.00604,                0.00604,                0.00604
                    122,                0.98366,                0.60377,                 1.0453,                0.85064,                 0.8185,                 0.8529,                0.56918,                 1.1304,                0.68817,                  1.172,               0.006007,               0.006007,               0.006007
                    123,                0.98237,                0.60207,                 1.0427,                0.85646,                0.81487,                0.85258,                0.56923,                 1.1272,                0.68811,                 1.1693,               0.005974,               0.005974,               0.005974
                    124,                 0.9865,                0.60322,                 1.0388,                0.86386,                0.80846,                0.85294,                0.56919,                 1.1236,                0.68897,                 1.1689,               0.005941,               0.005941,               0.005941
                    125,                0.97693,                0.60194,                 1.0395,                0.86201,                0.81079,                0.85514,                0.57042,                 1.1224,                0.68604,                 1.1669,               0.005908,               0.005908,               0.005908
                    126,                0.97529,                0.60431,                 1.0383,                0.85738,                0.81785,                0.85582,                0.57207,                 1.1268,                0.68159,                 1.1709,               0.005875,               0.005875,               0.005875
                    127,                0.97327,                 0.5976,                 1.0349,                0.86202,                0.81529,                0.85546,                0.57039,                 1.1258,                 0.6795,                 1.1722,               0.005842,               0.005842,               0.005842
                    128,                0.96068,                0.58641,                 1.0344,                0.86375,                0.81821,                0.85564,                0.57063,                 1.1211,                0.67869,                 1.1688,               0.005809,               0.005809,               0.005809
                    129,                0.97033,                0.59505,                 1.0381,                0.85719,                0.81871,                0.85379,                0.56853,                 1.1277,                0.68304,                 1.1723,               0.005776,               0.005776,               0.005776
                    130,                0.96734,                0.59137,                 1.0312,                0.84453,                0.82576,                0.85245,                0.56982,                 1.1249,                0.67902,                  1.173,               0.005743,               0.005743,               0.005743
                    131,                0.96926,                0.59298,                 1.0381,                0.85329,                0.82198,                 0.8534,                0.56996,                 1.1236,                0.68589,                 1.1698,                0.00571,                0.00571,                0.00571
                    132,                0.95394,                0.58558,                 1.0334,                0.85375,                0.82104,                0.85195,                0.57157,                 1.1168,                0.68365,                 1.1678,               0.005677,               0.005677,               0.005677
                    133,                0.96764,                0.58954,                 1.0346,                0.85566,                0.82497,                0.85405,                0.57289,                 1.1164,                 0.6803,                 1.1691,               0.005644,               0.005644,               0.005644
                    134,                0.95699,                0.58748,                 1.0363,                0.85742,                0.82109,                0.85381,                0.57274,                 1.1143,                0.68364,                 1.1674,               0.005611,               0.005611,               0.005611
                    135,                0.95819,                0.59017,                 1.0372,                0.85533,                 0.8215,                0.85302,                0.57067,                  1.116,                0.68396,                 1.1703,               0.005578,               0.005578,               0.005578
                    136,                0.94583,                0.57947,                 1.0292,                0.85765,                0.81747,                0.85036,                0.56855,                 1.1138,                0.68511,                 1.1693,               0.005545,               0.005545,               0.005545
                    137,                0.94875,                0.57677,                 1.0265,                0.86434,                0.81536,                0.85214,                0.57073,                 1.1088,                 0.6779,                 1.1654,               0.005512,               0.005512,               0.005512
                    138,                0.95112,                0.58811,                 1.0309,                0.86156,                  0.817,                0.85296,                0.57247,                 1.1108,                0.68239,                 1.1664,               0.005479,               0.005479,               0.005479
                    139,                0.94852,                0.58745,                 1.0338,                0.86012,                0.81868,                0.85511,                0.57343,                 1.1119,                 0.6823,                 1.1656,               0.005446,               0.005446,               0.005446
                    140,                0.94605,                0.57696,                 1.0288,                0.85975,                 0.8174,                0.85549,                0.57373,                  1.111,                0.67856,                 1.1649,               0.005413,               0.005413,               0.005413
                    141,                0.93552,                0.57418,                 1.0271,                0.86042,                0.81956,                 0.8546,                0.57501,                 1.1108,                 0.6794,                 1.1653,                0.00538,                0.00538,                0.00538
                    142,                 0.9501,                0.58276,                  1.035,                0.86179,                 0.8154,                 0.8564,                0.57644,                 1.1122,                0.68133,                 1.1674,               0.005347,               0.005347,               0.005347
                    143,                0.94146,                0.57593,                 1.0279,                0.85846,                0.82076,                0.85457,                0.57535,                 1.1122,                0.68175,                 1.1691,               0.005314,               0.005314,               0.005314
                    144,                0.94725,                0.57104,                 1.0279,                0.86257,                0.81743,                0.85479,                0.57502,                 1.1111,                0.68279,                 1.1688,               0.005281,               0.005281,               0.005281
                    145,                0.93989,                0.57702,                 1.0229,                0.86307,                0.81683,                0.85579,                 0.5766,                 1.1069,                0.67904,                 1.1673,               0.005248,               0.005248,               0.005248
                    146,                0.93108,                0.56495,                 1.0205,                0.86259,                0.81454,                0.85457,                0.57692,                 1.1031,                0.68044,                 1.1664,               0.005215,               0.005215,               0.005215
                    147,                0.92804,                 0.5639,                  1.017,                0.86241,                0.81676,                0.85517,                0.57661,                 1.0986,                0.67897,                 1.1649,               0.005182,               0.005182,               0.005182
                    148,                0.92345,                0.56379,                 1.0144,                 0.8584,                0.81534,                0.85379,                0.57657,                 1.0983,                0.67749,                  1.166,               0.005149,               0.005149,               0.005149
                    149,                0.92694,                0.57037,                 1.0284,                0.85776,                 0.8202,                0.85483,                0.57693,                 1.0962,                0.67535,                 1.1659,               0.005116,               0.005116,               0.005116
                    150,                0.92406,                0.56877,                 1.0193,                0.85484,                0.82144,                0.85254,                0.57725,                 1.0958,                0.67691,                 1.1654,               0.005083,               0.005083,               0.005083
                    151,                0.91795,                0.56726,                  1.014,                0.85922,                0.82013,                0.85317,                0.57832,                 1.0958,                0.68198,                 1.1647,                0.00505,                0.00505,                0.00505
                    152,                0.92574,                0.56493,                 1.0124,                0.85612,                0.82088,                0.85292,                0.57822,                 1.0946,                 0.6805,                 1.1624,               0.005017,               0.005017,               0.005017
                    153,                0.91651,                0.55835,                 1.0147,                 0.8504,                0.82478,                0.85322,                0.57845,                 1.0933,                0.68026,                 1.1605,               0.004984,               0.004984,               0.004984
                    154,                0.92015,                0.56115,                 1.0134,                0.85054,                0.82218,                0.85221,                0.57821,                 1.0935,                0.68113,                  1.161,               0.004951,               0.004951,               0.004951
